frame,src,conf,score,orange,shape,maha,misses,eff_min_conf,eff_imgsz,eff_chi2,nb_boxes_full,nb_players
204,FULL,0.8111270666122437,1.504043565030002,0.9423076923076923,0.3379345001349616,,0,0.03,960,9.21,1,11
206,FULL,0.7621244788169861,1.5135515642992208,0.8934081346423562,0.4330305291626093,,0,0.03,960,9.21,1,13
208,FULL,0.8010576963424683,1.4875062671195285,0.8405797101449276,0.3181448774071041,,0,0.03,960,9.21,2,9
210,FULL,0.8488422632217407,1.5161917722590073,0.8559782608695652,0.38241658706797194,,0,0.03,960,9.21,1,9
212,FULL,0.8210361003875732,1.5092916514358428,0.832258064516129,0.3601397109383128,,0,0.03,960,9.21,2,9
214,FULL,0.8062245845794678,1.489868913830463,0.793939393939394,0.38495631425579613,,0,0.03,960,9.21,4,11
216,FULL,0.8350943326950073,1.537827980290938,0.9572649572649573,0.35992924386019753,,0,0.03,960,9.21,6,11
218,FULL,0.882597029209137,1.5154853885447601,0.9877450980392157,0.22395488507414033,,0,0.03,960,9.21,1,11
220,FULL,0.8645279407501221,1.5313600562956275,0.9777777777777779,0.34542366268361807,,0,0.03,960,9.21,2,12
222,FULL,0.874333918094635,1.527679568852935,0.975051975051975,0.34407600100616254,,0,0.03,960,9.21,2,11
224,FULL,0.8497675657272339,1.5567785492168733,0.9851851851851852,0.5003007760389209,,0,0.03,960,9.21,2,11
226,FULL,0.8529213666915894,1.4741699074674448,0.956766917293233,0.18698130549326764,,0,0.03,960,9.21,2,11
228,FULL,0.8597398400306702,1.5105504874637816,0.9459459459459459,0.364224909550702,,0,0.03,960,9.21,2,11
276,FULL,0.04187323898077011,0.1562093492052641,0.0,0.697432059740681,,0,0.03,960,9.21,1,11
278,FULL,0.03597724437713623,0.6312254177401777,0.8668582375478927,0.7763057952372509,,0,0.03,960,9.21,1,10
280,FULL,0.7944350242614746,1.428283767058458,0.7374358974358974,0.8270725634435946,,0,0.03,960,9.21,2,10
282,FULL,0.22026176750659943,0.6814420493048255,0.0,0.6336790105308134,,0,0.03,960,9.21,2,11
284,FULL,0.6966308951377869,1.128429465724591,0.0,0.6581086172132041,,0,0.03,960,9.21,3,12
286,FULL,0.5832182168960571,1.305660997618845,0.2869269949066214,0.4905890752772885,,0,0.03,960,9.21,3,13
288,FULL,0.6640422344207764,1.1230126352388219,0.0,0.662869767625821,,0,0.03,960,9.21,3,12
290,FULL,0.25108426809310913,0.9321420897132923,0.4424552429667519,0.7613937845519129,,0,0.03,960,9.21,4,12
292,FULL,0.4648047685623169,1.3343207490398772,0.6766666666666667,0.4240125934107069,,0,0.03,960,9.21,5,10
294,FULL,0.5862536430358887,1.2016536008615604,0.1253968253968254,0.5486177018431034,,0,0.03,960,9.21,7,14
296,FULL,0.7907849550247192,1.3451148828262782,0.626358695652174,0.2857905366959543,,0,0.03,960,9.21,8,10
298,FULL,0.3839879333972931,1.379820922714644,0.9215686274509803,0.5917860820773866,,0,0.03,960,9.21,5,12
300,FULL,0.0654694065451622,0.5854004764702444,0.6354679802955665,0.7817391485369902,,0,0.03,960,9.21,1,11
302,FULL,0.0858401507139206,0.550953709153608,0.21954887218045113,0.4773591576706814,,0,0.03,960,9.21,2,12
304,FULL,0.459841251373291,1.2240758698151235,0.24949290060851925,0.6082977524584676,,0,0.03,960,9.21,2,10
306,FULL,0.04486794397234917,0.6080917742483705,0.6394557823129251,0.46308651779437027,,0,0.03,960,9.21,5,10
308,FULL,0.4018772542476654,1.154659432334261,0.20689655172413793,0.5131805901129741,,0,0.03,960,9.21,1,11
310,FULL,0.49205344915390015,1.2289988838209267,0.09166666666666666,0.7222717955733988,,0,0.03,960,9.21,4,11
312,FULL,0.7222788333892822,1.4691443610002204,0.6165413533834587,0.6698215703811429,,0,0.03,960,9.21,4,11
314,FULL,0.7469919919967651,1.3875661267593102,0.48214285714285715,0.48981297971738624,,0,0.03,960,9.21,4,13
316,FULL,0.6497443318367004,1.2522398112332758,0.1796875,0.5131303115800077,,0,0.03,960,9.21,1,11
318,FULL,0.4242803454399109,1.1130498634812989,0.14310344827586205,0.3034897502166629,,0,0.03,960,9.21,1,9
320,FULL,0.4744918644428253,1.1935079604819092,0.18421052631578946,0.4504295057738038,,0,0.03,960,9.21,1,12
322,FULL,0.756677508354187,1.464223672956011,0.6259398496240601,0.5482537634120724,,0,0.03,960,9.21,4,15
324,FULL,0.8225900530815125,1.3818821467456486,0.6413255360623781,0.7969592417230651,,0,0.03,960,9.21,1,11
