frame,src,conf,score,orange,shape,maha,misses,eff_min_conf,eff_imgsz,eff_chi2,nb_boxes_full,nb_players
0,,,,,,,0,0.03,960,9.21,0,0
1,,,,,,,0,0.03,960,9.21,0,0
2,,,,,,,0,0.03,960,9.21,0,0
3,,,,,,,0,0.03,960,9.21,0,0
4,,,,,,,0,0.03,960,9.21,0,0
5,FULL,0.2940143942832947,1.1779294519413,0.8842592592592593,0.7465498945984232,,0,0.03,960,9.21,2,0
6,,,,,,,0,0.03,960,9.21,0,0
7,,,,,,,0,0.03,960,9.21,0,0
8,,,,,,,0,0.03,960,9.21,0,0
9,,,,,,,0,0.03,960,9.21,0,0
10,,,,,,,0,0.03,960,9.21,0,0
11,,,,,,,0,0.03,960,9.21,0,0
12,,,,,,,0,0.03,960,9.21,0,0
13,FULL,0.04807598143815994,0.38283554262438824,0.18666666666666668,0.6896438805156153,,0,0.03,960,9.21,1,0
14,FULL,0.1254742294549942,0.5252493447546631,0.1742857142857143,0.7119692242456811,,0,0.03,960,9.21,1,0
15,FULL,0.08461529016494751,0.4332698883595939,0.1488095238095238,0.706997292483527,,0,0.03,960,9.21,1,0
16,,,,,,,0,0.03,960,9.21,0,0
17,FULL,0.04601764306426048,0.37363667492552544,0.20652173913043478,0.623965710818447,,0,0.03,960,9.21,1,0
18,FULL,0.11491290479898453,0.48772155943468354,0.2040133779264214,0.5853334488684271,,0,0.03,960,9.21,1,0
19,FULL,0.2570314407348633,0.8326518068445704,0.19444444444444445,0.6288026572544346,,0,0.03,960,9.21,1,0
20,FULL,0.6376432776451111,1.1870362924072781,0.24404761904761904,0.570168492648114,,0,0.03,960,9.21,1,0
21,FULL,0.04260570555925369,0.35710355483761647,0.2380952380952381,0.5105760070346979,,0,0.03,960,9.21,1,0
22,FULL,0.11576919257640839,0.4961090552715524,0.2714285714285714,0.5003007779952912,,0,0.03,960,9.21,1,0
23,FULL,0.04088893160223961,0.43858184316962234,0.3466666666666667,0.740104104887279,,0,0.03,960,9.21,1,0
24,FULL,0.712148129940033,1.1969798009353052,0.2718052738336714,0.5388986813668446,,0,0.03,960,9.21,1,0
25,FULL,0.07852167636156082,0.5330517386538636,0.42,0.7859796591802211,,0,0.03,960,9.21,1,0
26,FULL,0.09096332639455795,0.5367453239745243,0.38095238095238093,0.7593138237387752,,0,0.03,960,9.21,1,0
27,FULL,0.11707151681184769,0.5961765692935489,0.3714285714285714,0.8119012967387493,,0,0.03,960,9.21,1,0
28,FULL,0.1518373042345047,0.6418169446395583,0.5512820512820512,0.33500105074894776,,0,0.03,960,9.21,2,0
29,,,,,,,0,0.03,960,9.21,0,0
30,,,,,,,0,0.03,960,9.21,0,0
31,,,,,,,0,0.03,960,9.21,0,0
32,,,,,,,0,0.03,960,9.21,0,0
33,,,,,,,0,0.03,960,9.21,0,0
34,,,,,,,0,0.03,960,9.21,0,0
35,,,,,,,0,0.03,960,9.21,0,0
36,,,,,,,0,0.03,960,9.21,0,0
37,,,,,,,0,0.03,960,9.21,0,0
38,TILE,0.048939961940050125,0.3312952744366443,0.0320855614973262,0.6960774704473842,,0,0.03,960,9.21,0,0
39,,,,,,,0,0.03,960,9.21,0,0
40,,,,,,,0,0.03,960,9.21,0,0
41,FULL,0.080315962433815,0.3330117531740534,0.002699055330634278,0.5001465543856608,,0,0.03,960,9.21,1,0
42,FULL,0.06648943573236465,0.3034652431510343,0.002770083102493075,0.4708981398714646,,0,0.03,960,9.21,1,0
43,,,,,,,0,0.03,960,9.21,0,0
44,,,,,,,0,0.03,960,9.21,0,0
45,FULL,0.04008462652564049,0.5694956694765958,1.0,0.25697872067002386,,0,0.03,960,9.21,1,0
46,,,,,,,0,0.03,960,9.21,0,0
47,,,,,,,0,0.03,960,9.21,0,0
48,,,,,,,0,0.03,960,9.21,0,0
49,,,,,,,0,0.03,960,9.21,0,0
50,,,,,,,0,0.03,960,9.21,0,0
51,,,,,,,0,0.03,960,9.21,0,0
52,,,,,,,0,0.03,960,9.21,0,0
53,,,,,,,0,0.03,960,9.21,0,0
54,,,,,,,0,0.03,960,9.21,0,0
55,,,,,,,0,0.03,960,9.21,0,0
56,,,,,,,0,0.03,960,9.21,0,0
57,,,,,,,0,0.03,960,9.21,0,0
58,,,,,,,0,0.03,960,9.21,0,0
59,,,,,,,0,0.03,960,9.21,0,0
60,,,,,,,0,0.03,960,9.21,0,0
61,,,,,,,0,0.03,960,9.21,0,0
62,,,,,,,0,0.03,960,9.21,0,0
63,TILE,0.14262275397777557,0.686994800370403,0.5416666666666666,0.6852233061322411,,0,0.03,960,9.21,0,0
64,,,,,,,0,0.03,960,9.21,0,0
65,,,,,,,0,0.03,960,9.21,0,0
66,,,,,,,0,0.03,960,9.21,0,0
67,,,,,,,0,0.03,960,9.21,0,0
68,,,,,,,0,0.03,960,9.21,0,0
69,TILE,0.7039040923118591,1.372095135964332,0.6758241758241759,0.7099745750132767,,0,0.03,960,9.21,0,0
70,,,,,,,0,0.03,960,9.21,0,0
71,,,,,,,0,0.03,960,9.21,0,0
72,,,,,,,0,0.03,960,9.21,0,0
73,,,,,,,0,0.03,960,9.21,0,0
74,,,,,,,0,0.03,960,9.21,0,0
75,,,,,,,0,0.03,960,9.21,0,0
76,,,,,,,0,0.03,960,9.21,0,0
77,,,,,,,0,0.03,960,9.21,0,0
78,,,,,,,0,0.03,960,9.21,0,0
79,,,,,,,0,0.03,960,9.21,0,0
80,,,,,,,0,0.03,960,9.21,0,0
81,,,,,,,0,0.03,960,9.21,0,0
82,,,,,,,0,0.03,960,9.21,0,0
83,,,,,,,0,0.03,960,9.21,0,0
84,,,,,,,0,0.03,960,9.21,0,0
85,,,,,,,0,0.03,960,9.21,0,0
86,TILE,0.1010255515575409,0.6944649086240361,1.0,0.36751179454416805,,0,0.03,960,9.21,0,0
87,,,,,,,0,0.03,960,9.21,0,0
88,FULL,0.03252777084708214,0.4762720782270109,0.775974025974026,0.23442789620035726,,0,0.03,960,9.21,1,0
89,,,,,,,0,0.03,960,9.21,0,0
90,,,,,,,0,0.03,960,9.21,0,0
91,,,,,,,0,0.03,960,9.21,0,0
92,,,,,,,0,0.03,960,9.21,0,0
93,TILE,0.8622474670410156,1.4785202016835308,1.0,0.6492428499857557,,0,0.03,960,9.21,0,0
94,FULL,0.7729039788246155,1.4753660744553485,1.0,0.6430287075658971,,0,0.03,960,9.21,1,0
95,FULL,0.7907154560089111,1.4707019068212546,1.0,0.6170722209589364,,0,0.03,960,9.21,1,0
96,FULL,0.8470715284347534,1.4674447298141837,1.0,0.5949522742084463,,0,0.03,960,9.21,1,0
97,FULL,0.7960067391395569,1.4681591756894656,0.9971014492753624,0.6087338431623827,,0,0.03,960,9.21,1,0
98,FULL,0.6751809120178223,1.4281653943048482,1.0,0.4336375439454099,,0,0.03,960,9.21,1,0
99,FULL,0.7587206959724426,1.439190831769399,1.0,0.4646116503384779,,0,0.03,960,9.21,1,0
100,FULL,0.142543762922287,0.8069221574112145,1.0,0.48368703962275844,,0,0.03,960,9.21,2,0
101,,,,,,,0,0.03,960,9.21,0,0
102,,,,,,,0,0.03,960,9.21,0,0
103,,,,,,,0,0.03,960,9.21,0,0
104,,,,,,,0,0.03,960,9.21,0,0
105,,,,,,,0,0.03,960,9.21,0,0
106,,,,,,,0,0.03,960,9.21,0,0
107,,,,,,,0,0.03,960,9.21,0,0
108,,,,,,,0,0.03,960,9.21,0,0
109,,,,,,,0,0.03,960,9.21,0,0
110,,,,,,,0,0.03,960,9.21,0,0
111,,,,,,,0,0.03,960,9.21,0,0
112,,,,,,,0,0.03,960,9.21,0,0
113,,,,,,,0,0.03,960,9.21,0,0
114,,,,,,,0,0.03,960,9.21,0,0
115,,,,,,,0,0.03,960,9.21,0,0
116,,,,,,,0,0.03,960,9.21,0,0
117,,,,,,,0,0.03,960,9.21,0,0
118,,,,,,,0,0.03,960,9.21,0,0
119,,,,,,,0,0.03,960,9.21,0,0
120,,,,,,,0,0.03,960,9.21,0,0
121,,,,,,,0,0.03,960,9.21,0,0
122,,,,,,,0,0.03,960,9.21,0,0
123,,,,,,,0,0.03,960,9.21,0,0
124,,,,,,,0,0.03,960,9.21,0,0
125,FULL,0.21061263978481293,0.9212365876632598,0.8911070780399274,0.4142119228748445,,0,0.03,960,9.21,1,0
126,FULL,0.07412032783031464,0.6020214769462606,0.8736842105263157,0.3752545191940892,,0,0.03,960,9.21,1,0
127,FULL,0.032833490520715714,0.553876080118466,0.9087301587301587,0.3880910991675841,,0,0.03,960,9.21,1,0
128,,,,,,,0,0.03,960,9.21,0,0
129,,,,,,,0,0.03,960,9.21,0,0
130,FULL,0.08320917189121246,0.6566476036658347,0.9814814814814815,0.37947902381202303,,0,0.03,960,9.21,1,0
131,,,,,,,0,0.03,960,9.21,0,0
132,,,,,,,0,0.03,960,9.21,0,0
